学科,年级,册次,章节,课程名称,钩子确认版,标签确认版,学名确认版,url确认版,压图后封面url二次确认,备注问题,去内容标签新封面url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,万以内数的认识,认识计数单位“千”,千是个大数字！,【二年级】★【数学启蒙】,认识计数单位千,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_acf1a11fb73d523345b3bf287a641e37.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/c497d6ae54564600856323668200db9f.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,万以内数的认识,认识近似数,大约是多少呢？,【二年级】★【超好玩】,认识近似数,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_e0c8fb14be9695aaa1961094448caf0a.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/0c71b1739b914ccea0d5db906719df92.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,万以内的加法和减法,一次进位的加法,满十啦！快搬家！,【二年级】★【超好玩】,一次进位加法,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_341bd9d893b767603e2aa18a92633f2b.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/4e7dc875d3944f22b0b1379751de45f8.jpg,标签字压底图主体,https://cdn-private.sm.cn/souti-imgs-lasting/5eb8a7467ea84b5b890b57317f539349.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,万以内的加法和减法,一次退位的减法,借一个十来帮忙！,【二年级】★【超好玩】,一次退位减法,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_9751ca091e3dd38895c4e2a3a1b91f30.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/0e0b4b3f12a04989b697473a4fad9226.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,万以内的加法和减法,减法各部分间的关系,减法三兄弟！,【二年级】★【超好玩】,减法部分关系,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_94b79718d53f826dc400fa50a6aba9fb.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/ac984ae32efe4196b61361482b4d1e95.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,万以内的加法和减法,加法各部分间的关系,加法三兄弟！,【二年级】★【超好玩】,加法部分关系,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_60228452cd5fbfcbbb8a8284702c1644.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/1e0df83206bf4aa9b1c7202700b3101c.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,万以内的加法和减法,数独游戏,数字宝宝找房间！,【二年级】★【超好玩】,数独游戏,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_c0d8a47cff18df660a03f49385982d79.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/96031b7b34764baf9da2386c2ca6f8f7.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,万以内的加法和减法,用估算解决问题,猜一猜大约多少？,【二年级】★【超好玩】,用估算解决问题,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_e37e018f50ac6a215991da35e634f2f9.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/b638671a975047c3a02af9af78d1a6ac.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,万以内的加法和减法,连续进位的加法,连续满十搬家！,【二年级】★【近期要学】,连续进位加法,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_02b925806ead62f0d22fb7492c38852c.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/288eb4f26d964a7aaf5a5d6596f51099.jpg,标签字压底图主体,https://cdn-private.sm.cn/souti-imgs-lasting/bf398b50e3ce4354964f04c1c4868243.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,万以内的加法和减法,连续退位减法及验算,连续借位大冒险！,【二年级】★【近期要学】,连续退位减法,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_3ff30530d8d238c37002f5bdd958d533.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/6ef101a0d0bb4dbaadc18b126b2d0cc9.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,数量间的乘除关系,倍的认识,倍是什么魔法？,【二年级】★【近期要学】,倍的认识,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_d522fef96d4702c174389ac0c69d3700.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/29fd2bc63fea44be85724df0fc61447a.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,数量间的乘除关系,已知一个数的几倍是多少，求这个数,翻倍魔法棒！,【二年级】★【近期要学】,已知几倍求数,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_673211411e6ba648d5e37aa0b699356e.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/b9349e98f011452aa1e5ce145f449d52.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,数量间的乘除关系,根据已知条件补充问题,线索够了吗？,【二年级】★【近期要学】,补充已知条件,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_b112be4ebb38cb57e4b4606a8c3c0a3e.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/15328e5d877447b7b972e3c83e0b2b6e.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,数量间的乘除关系,根据问题补充合适条件,缺了什么线索？,【二年级】★【近期要学】,补充合适条件,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_c9abe6f36cb81f62ce3ea8596329621e.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/c35eae12d83f4ff2908234a963431dc8.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,数量间的乘除关系,求一个数是另一个数的几倍,你是我的几倍？,【二年级】★【近期要学】,求是几倍,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_8a2eaa1cd2ba3605bc0313305a239364.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/60fbf3acb518438eb9646adb6661d436.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,数量间的乘除关系,求一个数的几倍是多少,翻几倍变多少？,【二年级】★【近期要学】,求几倍是多少,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_f5801e5fd6a1c5b545e46c4ad336644c.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/ed175dba94164f999dc9967db92b0d1d.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
