行号,年级,钩子,原标签,新标签,style,原图url,旧封面url,新文件
182,六年级,摸几个能保证同色？,【六年级】★【应试核心】,六年级,2,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_357875c6e897b9062589c09480bae767.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/02a5daf14f104dc8af2f47a648c0bfb5.jpg,fix_182_2.png
183,六年级,5苹果4抽屉必发生？,【六年级】★【中考必会】,六年级,2,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_aa987a3ecdf158bd2f5efb6c4773297a.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/8ac33d57280f45059a0e3ca7b192df06.jpg,fix_183_2.png
186,六年级,速度时间是正比？,【六年级】★【破解技巧】,六年级,2,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_373123b2d2edac6069eefcbda92ba694.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/c66f27ab5d1d484189fb6f47fb721572.jpg,fix_186_2.png
195,六年级,增产两成是多少？,【六年级】★【高频考点】,六年级,2,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_e0127703a7f81ea56db99440e447e984.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/56e6c216d0cf4013bf3da5827393f3e6.jpg,fix_195_2.png
196,六年级,"""打折""背后的减法",【六年级】★【高频考点】,六年级,2,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_5e85448535d0e4e9483448ff4b7f7acf.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/b68152c765ad440da23dc1aeb9238e47.jpg,fix_196_2.png
197,六年级,工资条里的所得税,【六年级】★【中考必会】,六年级,2,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_d3b7e3dfb7120d2c05674e64ea1efd64.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/f58a24cd8373428f993ef3b85f3fc8f4.jpg,fix_197_2.png
202,,"""三不知""指什么？",【妙题高招】★【冷知识揭秘】,妙题高招,2,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_8426ce73f034cc455fbc70e0305eac97.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/ea2d5ee1c1de483285ec7df5fd2abb43.jpg,fix_202_2.png
205,,为何用鸭不用鸡？,【妙题高招】★【冷知识揭秘】,妙题高招,2,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_0f739022e0df4420facdd098ebbbef56.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/b14247ac73de478087bba432c7da540b.jpg,fix_205_2.png
209,,二次式求三次方？,【妙题高招】★【巧算思维】,妙题高招,2,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_35d04e0a67ac2065e35f45508867d545.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/a2f5e17837304ca19f2d92df73c8562f.jpg,fix_209_2.png
210,,孙行者下联是？,【妙题高招】★【历史趣闻】,妙题高招,2,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_4bddf1977a38c3c637624f6305710f1d.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/4a08698c986943e68db3fb29ce411727.jpg,fix_210_2.png
213,,"""三寸不烂""指谁？",【妙题高招】★【历史趣闻】,妙题高招,2,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_22b55618990625f8bbc49b582d390493.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/9809b34908ab4887991fca05ae0ce649.jpg,fix_213_2.png
215,,"""十八般""最初指什么？",【妙题高招】★【历史趣闻】,妙题高招,2,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_a960c879f1ed963e1365a2af2c8cb978.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/0c6c00259c1449f48947434de37b8529.jpg,fix_215_2.png
216,,"""孩子""本指什么？",【妙题高招】★【字源揭秘】,妙题高招,2,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_2628cc49f56b83119e77d568fe30c32c.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/c7a7299bd5c44f3788aba0157d448f4f.jpg,fix_216_2.png
217,,"""四周星""是什么？",【妙题高招】★【字源揭秘】,妙题高招,2,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_163c193b3990be0a53d3f0317f122280.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/80c15460935141499a8d94e7706f053e.jpg,fix_217_2.png
219,,末尾添0增18234,【妙题高招】★【巧算思维】,妙题高招,2,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_1de7716db5b625e847b232ffe39c836d.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/daebe12d60024332ab539d50652061c5.jpg,fix_219_2.png
221,,对折42次有多高？,【妙题高招】★【历史趣闻】,妙题高招,2,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_29d46c84e78e064b0b4d48c37fc93900.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/1fc30c3214d84c7aad5e5171357de0a9.jpg,fix_221_2.png
226,,冰为什么浮水面？,【妙题高招】★【巧算思维】,妙题高招,2,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_dda2edfa454bbd072c739b873ab5f867.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/787a0da6d87e4e62a00b43b68ed24996.jpg,fix_226_2.png
227,,"为何不叫""房西""？",【妙题高招】★【字源揭秘】,妙题高招,2,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_08cf8d78e985dea054510f5f7661f2ed.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/8841d1e568b84ebf867d79f023dca6da.jpg,fix_227_2.png
228,,"为何""学富五车""？",【妙题高招】★【字源揭秘】,妙题高招,2,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_d679bd0df2c2500da68f6f8eb22987d9.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/67c7863ffa1a43f5abbcb88dea9a80fc.jpg,fix_228_2.png
230,,鸡为何要吃沙粒？,【妙题高招】★【冷知识揭秘】,妙题高招,2,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_10a4097b5c06f06af0b47e0383daa12c.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/3f1062d8ec0e4787b0d9102f597d7fef.jpg,fix_230_2.png
232,,空腹不宜吃什么？,【妙题高招】★【冷知识揭秘】,妙题高招,2,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_1c36b3a0dd1bc6ab8ecb511845225c40.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/7d8ac7636a4c4213b83cf1449ac0e6e6.jpg,fix_232_2.png
233,,反逻辑的大小？,【妙题高招】★【巧算思维】,妙题高招,2,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_6478e62cf137db5ec7caee938100d73d.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/99f54c3b0b63470bb17fb191a38d1f4f.jpg,fix_233_2.png
234,,涨跌10%亏了吗？,【妙题高招】★【冷知识揭秘】,妙题高招,2,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_6a9864d6fb4cf69b4382ea4c6cd915f5.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/bfe731c581eb4bb69ba59fc35bc90439.jpg,fix_234_2.png
